procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0   2816      0 15129386    0    0     0 467024 3256 1085  0  2 97  1  0  0
 0  2      0   2916      0 15130022    0    0     0 466948 3456 1324  0  2 97  1  0  0
 1  1      0    512      0 15131827    0    0    16 465444 3752 1792  0  2 97  1  0  0
 1  1      0   1792      0 15130427    0    0     0 465584 3402 1195  0  2 97  1  0  0
 1  1      0   2816      0 15129441    0    0     0 465392 3432 1247  0  2 97  1  0  0
 2  0      0      0      0 15132221    0    0     0 463384 3383 1073  0  2 97  1  0  0
 2  0      0   2816      0 15129043    0    0     0 466948 3314 1122  0  2 97  1  0  0
 1  1      0   1536      0 15130805    0    0     0 470248 3482 1201  0  2 97  1  0  0
 2  1      0   2816      0 15129502    0    0     0 467740 3411 1057  0  2 97  1  0  0
 1  1      0   1792      0 15130500    0    0     0 463128 3414 1071  0  2 97  1  0  0
 1  0      0 16777824      0 15130618    0    0     0 340056 2884  540  0  3 97  0  0  0
 1  0      0 15088576      0 15130618    0    0     0     0 1209  349  1  2 97  0  0  0
 1  0      0 13389392      0 15130618    0    0     0     0 1128  199  1  2 97  0  0  0
 1  0      0 11695440      0 15130618    0    0     0     0 1106  151  1  2 97  0  0  0
 1  0      0 9997128      0 15130618    0    0     0    52 1308  373  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 8300872      0 15130618    0    0     0     0 1154  271  1  2 97  0  0  0
 1  1      0 6642500      0 15130622    0    0     0 425748 3376  701  1  2 97  0  0  0
 1  1      0 4980292      0 15130622    0    0     0 446708 3493  795  1  2 97  0  0  0
 1  1      0 3316292      0 15130622    0    0     0 442368 3376  632  1  2 97  0  0  0
 1  1      0 1643332      0 15130622    0    0     0 311404 2725  630  1  2 97  0  0  0
33  0      0   3584      0 15126939    0    0     0 434432 3529  797  1  2 97  0  0  0
33  0      0   3836      0 15126938    0    0     0 16384 30952 1564 81  0 19  0  0  0
32  0      0   3836      0 15126938    0    0     0     0 38491  430 99  0  1  0  0  0
32  0      0   3836      0 15126938    0    0     0     0 38375  576 100  0  0  0  0  0
