rocs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0   4056      0 20520159    0    0     0 466952 3258  725  1  2 97  1  0  0
 2  1      0   1280      0 20523507    0    0     0 466948 3322 1055  0  2 97  1  0  0
 2  0      0   1024      0 20523668    0    0     0 459100 3386 1092  0  2 97  1  0  0
 1  1      0    768      0 20524190    0    0     0 475140 3330  960  0  2 97  1  0  0
 3  0      0   2048      0 20522189    0    0     0 458756 3261  961  0  2 97  1  0  0
 2  0      0   3328      0 20521706    0    0     0 466948 3313  959  1  2 97  1  0  0
 1  1      0   2572      0 20522304    0    0     0 466948 3568 1094  2  1 97  1  0  0
 2  0      0   2572      0 20522304    0    0     0 458868 3499  771  2  1 97  0  0  0
 2  0      0   2572      0 20522304    0    0     0 452612 3509  669  2  1 97  0  0  0
 1  0      0   2572      0 20522304    0    0     0 239612 2369  397  2  1 97  0  0  0
 1  0      0   2572      0 20522304    0    0     0     0 1207  364  2  2 97  0  0  0
32  0      0   2596      0 20522304    0    0     0     0 41733  541 41  5 54  0  0  0
32  0      0   2596      0 20522304    0    0     0    84 227801  719 94  6  0  0  0  0
32  0      0   2596      0 20522304    0    0     0   196 32475  651 100  0  0  0  0  0
32  1      0   2596      0 20522304    0    0     0 128008 134335 1178 97  3  0  0  0  0
32  1      0   2596      0 20522304    0    0     0 463868 55870 1350 99  1  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
32  1      0   2340      0 20522308    0    0     0 460784 190556 1511 94  6  0  0  0  0
33  0      0   2332      0 20522310    0    0     0 450580 187584 1571 94  6  0  0  0  0
32  0      0   2332      0 20522310    0    0     0 352252 154182 1232 94  6  0  0  0  0
32  0      0   2332      0 20522310    0    0     0    92 32351  332 100  0  0  0  0  0
32  0      0   2332      0 20522310    0    0     0     0 77224  331 98  2  0  0  0  0
16  0      0   2332      0 20522310    0    0     0     0 41404  382 73  1 26  0  0  0
 1  0      0   2816      0 20521583    0    0     0     0 11186  552 29  1 70  0  0  0
 1  0      0   2304      0 20521698    0    0     0     0 1099  702  1  2 97  0  0  0
 1  0      0   3584      0 20520382    0    0     0    92 1115  719  1  2 97  0  0  0
 1  0      0   4352      0 20519856    0    0     0     0 1136  828  1  2 97  0  0  0
 2  0      0   4096      0 20520595    0    0     0 458764 3561 1536  1  2 97  0  0  0
 1  1      0   2048      0 20522810    0    0     0 442372 3189 1031  0  2 97  1  0  0
 2  0      0   1280      0 20522240    0    0     0 466948 3279  948  0  2 97  1  0  0
 1  1      0   3328      0 20521247    0    0     0 467040 3277  931  1  2 97  1  0  0
 1  1      0    768      0 20524251    0    0     0 458824 3277 1036  0  2 97  1  0  0
 1  1      0      0      0 20524521    0    0     0 466948 3313  998  0  2 97  1  0  0
 2  1      0   1024      0 20523565    0    0     0 466948 3310  966  1  2 97  1  0  0
 1  1      0   2816      0 20521963    0    0     0 466948 3295  954  0  3 94  2  0  0
 3  0      0   3840      0 20520951    0    0     0 467044 3383 1050  1  3 94  3  0  0
 1  1      0   3840      0 20520719    0    0     0 466948 3324  964  1  3 94  3  0  0
 2  1      0   3072      0 20521804    0    0     0 458756 3315  996  1  3 94  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0   4096      0 20521149    0    0     0 466948 3296  949  1  3 94  3  0  0
 2  1      0   2304      0 20522852    0    0     0 466948 3375 1028  1  3 94  3  0  0
 1  1      0   1280      0 20523806    0    0     0 458876 3333 1070  1  3 94  3  0  0
 1  1      0   3328      0 20521696    0    0     0 467192 3362 1098  1  3 94  3  0  0
 1  1      0   4096      0 20520617    0    0     0 466944 3381 1009  1  3 94  3  0  0
 3  0      0   4608      0 20520475    0    0     0 466952 3423  938  1  3 94  3  0  0
 1  1      0   4608      0 20520475    0    0     0 450564 3362  591  2  2 94  2  0  0
 1  1      0   4608      0 20520475    0    0     0 442464 3330  643  3  1 94  2  0  0
