procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0   2272      0 14746313    0    0     0  1900 1113  154  3  0 97  0  0  0
31  1      0   2020      0 14746313    0    0     0 469144 28508  839 74  6 20  0  0  0
32  1      0   2020      0 14746313    0    0     0 468568 52287  943 96  1  3  0  0  0
31  0      0   1252      0 14746316    0    0     0 268748 64208  600 95  2  3  0  0  0
31  0      0   1252      0 14746316    0    0     0    68 49324  432 96  1  3  0  0  0
31  0      0   1252      0 14746316    0    0     0     0 64799  351 95  2  3  0  0  0
31  0      0   1252      0 14746316    0    0     0     0 45134  425 96  1  3  0  0  0
31  0      0   1252      0 14746316    0    0     0     0 49896  287 96  1  3  0  0  0
31  0      0   1252      0 14746316    0    0     0     0 62944  264 96  1  3  0  0  0
31  0      0   1252      0 14746316    0    0     0    56 65998  356 95  2  3  0  0  0
31  0      0   1252      0 14746316    0    0     0    12 50549  505 96  1  3  0  0  0
31  0      0   1252      0 14746316    0    0     0     0 68789  301 95  2  3  0  0  0
31  0      0   1252      0 14746316    0    0     0     0 70799  299 95  2  3  0  0  0
31  0      0   1252      0 14746316    0    0     0     0 50096  284 96  1  3  0  0  0
31  0      0   1504      0 14746316    0    0     0     0 50018  735 96  1  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
26  0      0   1756      0 14746316    0    0     0    24 50705  552 94  1  5  0  0  0
17  0      0   1756      0 14746320    0    0     0    84 41377  464 68  1 31  0  0  0
17  0      0   1756      0 14746320    0    0     0     0 30900  301 52  1 47  0  0  0
17  0      0   1756      0 14746320    0    0     0     0 36753  393 52  1 47  0  0  0
12  0      0   1756      0 14746320    0    0     0     0 32871  289 41  1 58  0  0  0
 1  0      0   3328      0 14744731    0    0     0    12 15976  698 13  2 85  0  0  0
 1  0      0   2048      0 14745812    0    0     0    12 1129  806  1  2 97  0  0  0
 1  1      0   1536      0 14746449    0    0     0 262156 2500 1187  1  3 97  0  0  0
